Stream,Duration,Avg Viewers,Max Viewers,Followers,Views,Title,Games
2024-05-26 01:34,310,17,23,0,0,【JP/mini EN】溜まった作業を消化します@bonkotu25,
2024-05-27 03:55,319,56,110,4,0,【JP/mini EN】【RTA/speedrun】golden net-金の網を求めて-@bonkotu25,
2024-06-02 07:53,431,9,13,1,0,【JP/mini EN】 デイリー消化とか@bonkotu25,
2024-06-03 06:03,211,17,23,1,0,【JP/mini EN】【RTA/speedrun】golden net-金の網を求めて-@bonkotu25,
2024-06-04 04:19,315,39,62,0,0,【JP/mini EN】【RTA/speedrun】金網 -golden net-@bonkotu25,
2024-06-04 19:27,287,17,57,1,0,街森金網並走会2024 AC:CF Golden Net Race 2024@bonkotu25,
2024-06-05 07:17,77,5,5,0,0,【JP/mini EN】 デイリー消化とか@bonkotu25,
2024-06-06 05:28,256,18,23,-1,0,【JP/mini EN】 【RTA/speedrun】街森の金網@bonkotu25,
2024-06-07 06:00,204,18,23,0,0,【JP/mini EN】 【RTA/speedrun】街森の金網@bonkotu25,
2024-06-09 09:47,197,13,17,0,0,【JP/mini EN】【RTA/speedrun】Golden Net-街森金網-@bonkotu25,
2024-06-09 21:01,243,7,8,0,0,【JP/mini EN】デイリー消化とか 時間あったら金網やります@bonkotu25,
2024-06-11 07:42,112,8,9,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-06-12 05:52,243,16,22,0,0,【JP/mini EN】【RTA/speedrun】Golden Net-街森金網-@bonkotu25,
2024-06-13 07:28,126,6,8,0,0,【JP/mini EN】デイリー消化したり@bonkotu25,
2024-06-14 05:58,206,23,28,0,0,【JP/mini EN】【RTA/speedrun】Golden Net-街森金網-@bonkotu25,
2024-06-15 11:05,149,6,6,0,0,【JP/mini EN】【RTA/speedrun】Golden Net-街森金網-@bonkotu25,
2024-06-15 22:25,99,747,1488,0,0,【JP/mini EN】【RTA/speedrun】デイリー消化とかストーリーとか@bonkotu25,
2024-06-17 04:39,165,139,188,0,0,【JP/mini EN】【RTA/speedrun】Golden Net-街森金網-@bonkotu25,
2024-06-18 08:16,88,7,10,0,0,【JP/mini EN】【RTA/speedrun】9時30分くらいまで原神とか@bonkotu25,
2024-06-20 08:19,95,14,19,0,0,【JP/mini EN】たくさんの諭吉を失いました@bonkotu25,
2024-06-23 10:40,264,7,11,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-06-25 08:33,71,8,11,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-06-28 08:36,58,5,5,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-06-29 03:48,366,8,11,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-06-30 04:18,316,9,13,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-07-02 08:46,48,5,5,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-07-10 05:10,184,13,17,0,0,【JP/mini EN】【RTA/speedrun】Golden Net-街森金網-@bonkotu25,
2024-07-14 00:07,57,6,6,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-07-16 00:38,86,6,6,0,0,【JP/mini EN】【RTA/speedrun】ようこそひつじ村 まずは羊の気持ちになります。 @bonkotu25,
2024-07-20 23:31,213,7,8,0,0,【JP/mini EN】【RTA/speedrun】ようこそひつじ村 まずは羊の気持ちになります。 @bonkotu25,
2024-07-22 01:12,82,6,7,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-07-25 00:29,65,7,8,0,0,【JP/mini EN】【RTA/speedrun】ようこそひつじ村 まずは羊の気持ちになります。 @bonkotu25,
2024-07-29 01:02,102,22,28,0,0,【JP/mini EN】【RTA/speedrun】ようこそひつじ村 まずは羊の気持ちになります。 @bonkotu25,
2024-08-04 11:49,445,10,14,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-08-09 08:41,73,9,10,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-08-19 00:13,141,5,6,0,0,【JP/mini EN】デイリー消化とかしつつLSS準備 @bonkotu25,
2024-08-25 19:27,167,125,290,6,0,【ゆるいRTAレイド】ようこそひつじ村 any% 前:@pitman_live 今:@bonkotu25 次:@schwarze3010,
2024-08-26 21:37,377,108,331,6,0,【ばったもんRTAレイド】ルーンファクトリー４SP Beat 2nd Arc 前： @sisuka7 今: @bonkotu25 次： @nico_yutapon,
2024-09-01 03:15,269,34,53,0,0,LSS練習【JP/mini EN】【RTA/speedrun】牧場物語ワクワクアニマルマーチ any% @bonkotu25,
2024-09-07 03:33,371,28,42,2,0,LSS練習【JP/mini EN】【RTA/speedrun】牧場物語ワクワクアニマルマーチ any% @bonkotu25,
